,1,2,3,,,,,,,,,,,固态或半固态废物特征,,,液态废物特征,固态废物特征,,,,,,,固态废物特征,液态废物特征,工业组成分析（单位%，总和=1）,,,,,元素组成（单位%，所有元素加和=1）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,物相组成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,污染物含量（mg/kg）数值型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,多环芳烃（mg/kg),,,,,,,,,,,,,,,,有机污染物（mg/kg）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,毒性浸出浓度（mg/L),,,,,,,,,,,,,,,,,,,
数据来源,废物类别,行业分类,固废名称,产生工段,废物描述,表观形貌(稍微详细),物质组成特性,特征指标,物理形态(固态、半固态、液态),形状(块状、颗粒状、泥状、水状、粘稠状等),表观形貌(球状、板状、粗糙、光滑、团聚、分散),颜色,气味,含水率(%),密度(kg/m3),容重,粘度mPa.s,粒度mm,比表面积m2/g,平均孔径nm,磁性,热值MJ/kg,含油率%,pH,TOC(%),COD(mg/L),挥发分含量,灰分含量,烧失量,固定碳含量,硫分含量,C,H,N,O,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,B2O3,Al2O3,MgO,Mg(OH)2,P Cl,K2O,Na2O,Fe2O3,SiO2,MnO,CaO,P S,As2O3,TiO2,TiCl4,CaCl2,MgCl2,MnCl2,KCl,NaCl,AlCl3,FeCl2,FeCl3,Cr2O3,CuO,ZnO,PbO,P F,CaF2,CaSO4,CaCO3,SO3,V2O5,BaO,BaSO4,BaCO3,BaSiO3,BaS,P2O5,NiO,SrO,SnO2,Co3O4,P Br,P I,CdO,Sb2O3,ZrO2,MoO3,WO3,CuS,黄铜矿,冰铜,铁橄榄石,磁铁矿,钙铁辉石,辉铜矿,石膏,方解石,石英,砷铜矿,铁,皓矾,六水锌矾,"(Sb,As)2O3",As2O5,铅绿矾,方铅矿,铅黄,铅,密陀僧,红锌矿,闪锌矿,锌,纤锌矿,冰晶石,刚玉,β-氧化铝,钾冰晶石,铝,锥冰晶石,西蒙冰晶石,氟铝钙锂石,白砷石,三水胆矾,副雄黄,砷华,铅矾,块黑铅矿,四水锌矾,硒汞矿,尖晶石,氮化铝,方镁石,铜靛矾,CuSO4•H2O,CdSO3•0.5H2O,石盐,氟氯铅矿,氯铅矿,氯化铵,T B(mg/kg),T Na(mg/kg),T Mg(mg/kg),T Al(mg/kg),T K(mg/kg),T Ca(mg/kg),T Fe,T Cu,T Pb,T Zn,T Sn,T Ni,T Co,T Sb,T Hg,T Cd,T Bi,T Cr(mg/kg),T As,T Be,T Ba,T Pd,T Pt,T V,T Mn,T Ti,T Al3+ (g/L),T SO42- (g/L),NaCl(%),NH4Cl(%),总氰化物,无机氟化物(不包括氟化钙),萘(mg/kg),苊烯,苊,芴,菲,蒽,荧蒽,芘,苯并(a)蒽,屈,苯并(b)荧蒽,苯并 (k)荧蒽,苯并(a)芘,"茚苯(1,2,3-cd)芘"," 二苯并(a, n)蒽",苯并(ghi)北(二萘嵌苯),乙酸乙酯,邻苯二甲酸(2-乙基己基酯),邻苯二甲酸二丁酯,邻苯二甲酸丁卞酯,邻苯二甲酸二乙酯,甲苯,二氯甲烷,二氯乙烷,苯酚,甲酸%,甲醛%,甘氨酸,草甘膦%,增甘膦%,双甘膦%,亚磷酸钠,甲基草甘膦酸钠盐,羟甲基磷酸钠盐,羟基乙酸(mg/L),苯氧乙酸(mg/L),氯乙酸,"2,4-二氯酚(mg/L)","2,4-二氯苯氧乙酸钠(mg/L)",邻甲酚,2甲4氯酸,氯甲基吡啶,吡啶,百草枯,"2-氯-N-(氯甲基)-N-(2,6-二乙基苯基)乙酰胺(MRM)","N-2,6-二乙基苯基甲亚胺(甲叉)",丁草胺,4-[3-乙基-2-(甲亚基氨基)苯基]丁酰氯,三氯吡啶醇钠,乙基氯化物,毒死蜱,多菌灵,氯甲酸甲酯,邻苯二胺,苯肼,脲,1-苯基氨基脲,甲酸,三唑磷,二甲胺,西玛津,2-氯烟酰胺,烟嘧磺酰氯,烟嘧磺胺,烟嘧磺隆,精胺,胺醚,氯乙酰氯,莠去津,代森锰,乙撑硫脲,咪鲜胺,L Ca(mg/L),L Mg(mg/L),L Fe (mg/L),L Cu,L Pb,L Zn,L Ba (mg/L),L Sn ,L Co,L Sb,L Hg,L Cd,L Bi,L Ni,L Cr (mg/L),L Ag,L As,L Se,L Br,L V
采样检测,固相热处理渣,有色冶炼,铜熔炼渣,,火法炼铜（如双闪工艺及双底吹连续炼铜工艺等）熔炼工段熔炼炉产生的熔炼渣,,,,固态,颗粒状,球状、粗糙、团聚,黑灰色,无刺激性气味,1.12,4000,,,,,,,,,7.45,,,,,,,,,,,,,,,,,,0.66,,,,,,,,,44.52,,,3.25,2.26,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,,,1.53,0.118,,,0.631,,58.96,12.44,0.148,4.68,0.161,2.29,0.181,,,,,,,,,,0.0171,2.6,5.81,7.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.984,0.909,4.737,,0.036,,,,,,0.075,0.333,,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06937,0.00277,1.412,0.04719,,,,,0.1515,,0.1111,,,0.04078,0.04707,,
铜冶炼渣湿法处理技术研究进展,固相热处理渣,有色冶炼,铜熔炼渣,生产过程,火法炼铜（如双闪工艺及双底吹连续炼铜工艺等）熔炼工段熔炼炉产生的熔炼渣,表面有金属光泽,,,固态,颗粒状,球状、粗糙、团聚,黑灰色,无刺激性气味,1.12,4000,,,,,,,,,7.45,,,,,,,,,,,,,,,,,,,,,,,,,,,40.92,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.87,,,,,,,25.4,,5.75,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,8,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
铜冶炼渣湿法处理技术研究进展,固相热处理渣,有色冶炼,铜熔炼渣,生产过程,火法炼铜（如双闪工艺及双底吹连续炼铜工艺等）熔炼工段熔炼炉产生的熔炼渣,表面有金属光泽,,,固态,颗粒状,球状、粗糙、团聚,黑灰色,无刺激性气味,1.12,4000,,,,,,,,,7.45,,,,,,,,,,,,,,,,,,,,,,,,,,,45.11,,,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.86,,,,,,,27.1,,3.64,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,65,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
铜冶炼渣湿法处理技术研究进展,固相热处理渣,有色冶炼,铜熔炼渣,生产过程,火法炼铜（如双闪工艺及双底吹连续炼铜工艺等）熔炼工段熔炼炉产生的熔炼渣,表面有金属光泽,,,固态,颗粒状,球状、粗糙、团聚,黑灰色,无刺激性气味,1.12,4000,,,,,,,,,7.45,,,,,,,,,,,,,,,,,,,,,,,,,,,39.95,,,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92,,,,,,,30,,6.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王玲 2019 富氧底吹粗铜熔炼渣中铜的赋存状态研究,固相热处理渣,有色冶炼,铜熔炼渣,生产过程,火法炼铜（如双闪工艺及双底吹连续炼铜工艺等）熔炼工段熔炼炉产生的熔炼渣,表面有金属光泽,,,固态,颗粒状,球状、粗糙、团聚,黑灰色,无刺激性气味,1.12,4000,,,,,,,,,7.45,,,,,,,,,,,,,,,,,,,,,,,,,,,41.47,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23,,,,,,,25,,5.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,37,31,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
采样检测,固相热处理渣,有色冶炼,铜吹炼渣,,火法炼铜（如双闪工艺及双底吹连续炼铜工艺等）吹炼工段吹炼炉产生的吹炼渣,,,,固态,颗粒状,球状、粗糙、团聚,黑灰色,无刺激性气味,0.02,4500,,,,,,,,,6.43,,,,,,,,,,,,,,,,,,1.38,,,,,,,,,44.1,,,3.5,3.34,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16,,,,0.578,0.0396,,,0.141,,24.33,6.07,0.119,1.23,1.49,,0.0517,,,,,,,,,,0.0942,32,2.82,28.74,,,,,,,,,,,,,,,,,,,,,,,,60,,,8,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.723,4.722,5.198,,0.520,,,,,,0.228,0.064,,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1205,0.00418,1.376,0.0754,,,,,0.1534,,6.038,,,0.05353,0.01983,,
铜冶炼渣湿法处理技术研究进展,固相热处理渣,有色冶炼,铜吹炼渣,,火法炼铜（如双闪工艺及双底吹连续炼铜工艺等）吹炼工段吹炼炉产生的吹炼渣,,,,固态,颗粒状,球状、粗糙、团聚,黑灰色,无刺激性气味,0.02,3300,,,,,,,,,6.43,,,,,,,,,,,,,,,,,,,,,,,,,,,49.45,,,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78,,,,,,,15.15,,2.57,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,70,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
铜冶炼渣湿法处理技术研究进展,固相热处理渣,有色冶炼,铜吹炼渣,,火法炼铜（如双闪工艺及双底吹连续炼铜工艺等）吹炼工段吹炼炉产生的吹炼渣,,,,固态,颗粒状,球状、粗糙、团聚,黑灰色,无刺激性气味,0.02,,,,,,,,,,6.43,,,,,,,,,,,,,,,,,,,,,,,,,,,53.59,,,7.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,25.11,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
采样检测,固相热处理渣,有色冶炼,铅水淬渣,,火法炼铅（如富氧熔炼+直接还原工艺及富氧闪速熔炼工艺等）烟化炉渣经水淬后产生的水淬渣,,Fe2O3、SiO2、CaO、BaO、Al2O3,非晶态,固态,颗粒状,球状、粗糙、团聚,黑灰色,无刺激性气味,0.08,4500,,,,,,,,,8.92,,,,,,,,,,,,,,,,,,1.74,,,,,,,,,37.89,,,1.25,2.91,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,26,1.2,,0.145,0.699,0.427,59.3,10.93,1.1,10.23,0.0265,,0.388,,,,,,,,,,0.199,0.45,2.04,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.075,0.462,3.020,,1.229,,,,,,3.849,0.176,,0.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.565,10.435,5.115,0.2116,,,,,0.5825,,0.2708,0.00404,,1.132,0.01558,,
