1,2,3,,,,,,,,kg/m3,%,,%,mg/L,KJ/kg,%,工业分析（单位%，总和=1）,,,,元素组成（单位%，所有元素加和=1）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,主要成分（%）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金属元素含量（mg/kg）数值型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,多环芳烃（mg/kg),,,,,,,,,,,,,,,,酯类,,,,,,,,,,邻苯二甲酸酯类,,,,,,,,,,,,,,,,,芳香烃类,,,,,,,,,,,氯代烃,,酚类,,,,醛类,,有机酸类,,,,,,,有机酸盐类,,,,杂环,,,,,,胺类,,,,,,,,,,,,,,,农药,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,重金属毒性浸出浓度（mg/L),,,,,,,,,,,,,,,,,,,,
废物类别,行业分类,固废名称 ,别名,产生工段,表观形貌（稍微详细）,物理形态,形状,颜色,气味,密度,含水率,pH,含油率,COD,热值,烧失率,水分,灰分,挥发分,固定碳,C,H,N,O,F,Na,Mg,Al,"Si	",P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,"Cu	",Zn,As,Pb,Ag,Bi,Cd,Sn,Sb,I,Hg,Ba,Al2O3,MgO,Cl,K2O,Na2O,Fe2O3,SiO2,MnO,CaO,S,SO3,As2O3,TiO2,Cr2O3,CuO,ZnO,PbO,F,V2O5,BaO,P2O5,SnO2,NiO,NaCl（%）,KCl,MgCl2,Mg(OH)2,Al(OH)3,AlCl3,MnCl2,NH4Cl（%）,TiCl4,FeCl2,FeCl3,CaCl2,CaF2,CaSO4,CaCO3,BaO,BaSO4,BaCO3,BaSiO3,BaS,NaNO3,辉铜矿,黄铜矿,铜铁硫化相,铁橄榄石,磁铁矿,钙铁辉石,玻璃相,石膏,方解石,石英,砷铜矿,皓矾,六水锌矾,氧化锑,三氧化二砷,五氧化二砷,铅绿矾,方铅矿,铅黄,铅,密陀僧,红锌矿,闪锌矿,锌,纤锌矿,冰晶石,刚玉,β-氧化铝,钾冰晶石,铝,锥冰晶石,西蒙冰晶石,氟铝钙锂石,白砷石,三水胆矾,副雄黄,砷华,铅矾,块黑铅矿,四水锌矾,硒汞矿,尖晶石,氮化铝,方镁石,铜靛矾,CuSO4•H2O,CdSO3•0.5H2O,石盐,氟氯铅矿,铁白云石,钙铝矾,氯铅矿,T B(mg/kg),T Na(mg/kg),T Mg(mg/kg),T Al(mg/kg),T K(mg/kg),T Ca(mg/kg),T Fe,T Cu,T Pb,T Zn,T Sn,T Ni,T Co,T Sb,T Hg,T Cd,T Bi,T Cr（mg/kg）,T As,T Be,T Ba,T Pd,T Pt,T V,T Mn,T Ti,T Al3+ （mg/L）,T SO42- （g/L),CN（mg/L),F（mg/L),萘,苊烯,苊,芴,菲,蒽,荧蒽,芘,苯并（a）蒽,屈,苯并（b）荧蒽,苯并 (k)荧蒽,苯并（a）芘,"茚苯（1,2,3-cd）芘"," 二苯并（a, n）蒽",苯并（ghi）北（二萘嵌苯）,乙酸乙酯,乙酸丁酯,乙酸异戊酯,氨基甲酸乙酯,邻甲酸甲酯,邻甲基苯甲酸,丁酸丁酯,N-氰基乙酰亚胺甲酯（乙酯）,4-[3-甲基-3-(（甲亚基氨基)）苯基]丁酸乙酯,氯甲酸甲酯,邻苯二甲酸二甲酯,邻甲基苯甲酸甲酯,邻苯二甲酸二乙酯,邻苯二甲酸二异丁酯,邻苯二甲酸二正丁酯,邻苯二甲酸二(2-甲氧基)乙酯,邻苯二甲酸二(4-甲基-2-戊基)酯,邻苯二甲酸二(2-乙氧基)乙酯,邻苯二甲酸二戊酯,邻苯二甲酸二己酯,邻苯二甲酸丁基苄基酯,邻苯二甲酸二(2-丁氧基)乙酯,邻苯二甲酸二环己酯,邻苯二甲酸二（2-乙基）己酯,邻苯二甲酸二苯酯,邻苯二甲酸二正辛酯,邻苯二甲酸二壬酯,苯,甲苯,乙苯,二甲苯,对二甲苯,间二甲苯,邻二甲苯,异丙苯,苯乙烯,乙烯基甲苯,环己烷,二氯甲烷,二氯乙烷,苯酚,邻甲酚,"2,4-二氯酚（mg/L）","2,5-二氯苯酚（mg/L）",甲醛%,间苯氧基苯甲醛,甲酸%,苯氧乙酸（mg/L）,氯乙酸,羟基乙酸（mg/L),2甲4氯酸,甲酸,甘氨酸,亚磷酸钠,甲基草甘膦酸钠盐,羟甲基磷酸钠盐,"2,4-二氯苯氧乙酸钠（mg/L)",氯甲基吡啶,吡啶,2-氯-5-氯甲基吡啶,三氯吡啶醇钠,乙基氯化物,氯乙酰氯,邻苯二胺,苯肼,脲,1-苯基氨基脲,二甲胺,2-氯烟酰胺,精胺,胺醚,乙撑硫脲,邻甲基苯基硫脲,"2-氯-N-(氯甲基)-N-(2,6-二乙基苯基)乙酰胺（MRM）","N-2,6-二乙基苯基甲亚胺（甲叉）",丁草胺,4-[3-乙基-2-(甲亚基氨基)苯基]丁酰氯,"2,5-二氯苯胺","2,4-D（mg/L）",草甘膦（mg/L),增甘膦mg/L,双甘膦mg/L,西玛津mg/L,三唑磷mg/L,烟嘧磺酰氯mg/L,烟嘧磺胺mg/L,烟嘧磺隆mg/kg,毒死蜱,多菌灵mg/L,氟乐灵,丁草胺mg/L,咪鲜胺,莠去津mg/L,百草枯mg/L,苯磺隆,吡虫啉,咪唑（烷）,丙环唑,代森锰mg/L,敌百虫,啶虫脒,麦草畏,杀虫单,乙草胺,溴丙烷,四氯化碳,丙溴磷,对氯三氟甲苯,功夫酰氯,苄基三乙基氯化铵,二氯菊酰氯,4-甲基-2-肼基苯并骈噻唑,苯唑醇,二甲硫醚,硫酸二甲酯,甲醇,乙醇,辛硫磷,"O,O-二乙基硫代磷酰氯",2-氯烟酰胺,二氯甲烷,醋酸,醋酸酐,丙烯醛,丙烯腈,环戊二烯,L Ca(mg/L),L Mg（mg/L),L Fe (mg/L),L Cu,L Pb,L Zn,L Ba (mg/L),L Sn ,L Co,L Sb,L Hg,L Cd,L Bi,L Ni,L Cr （mg/L),L Ag,L As,L Mn,L Se,L Br,L V
固相热处理渣,有色冶炼,铜火法冶炼熔炼渣,铜渣、铜熔炼渣,铜火法冶炼工艺中铜精矿配料混合产生铜锍过程中产生的熔炼渣,内部玻璃体,固态,颗粒状                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,黑色、褐色或黑绿色,,3800-4200,≤2,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,40-46,,,0.42-4.6,,,,,,,,,,,,≤10,,,,,,30-40,,≤11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-65,33-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固相热处理渣,有色冶炼,铜火法冶炼吹炼渣,无,铜火法冶炼工艺中铜锍经过底吹连续吹炼过程产生的吹炼渣。,性脆、坚硬、结构致密,,,黑色、黑中透绿,,4000-4500,≤2,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.45-53.59,,,1.74-7.26,,,,,,,,,,,,≤10,,,,,,30-40,,≤11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-70,26-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固相热处理渣,有色冶炼,铅火法冶炼烟化炉水淬渣,水淬渣、烟化炉渣,火法炼铅（富氧熔炼+直接还原工艺及富氧闪速熔炼工艺）炉渣经烟化处理后的熔体再经水淬而产生的弃渣,大多呈尖角形且较脆，非晶态,固态,颗粒状,黑灰色,无刺激性气味,4300-4700,≤5,8.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5-6.5,,,,,30-40,20-30,,10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固相热处理渣,有色冶炼,锌湿法冶炼挥发窑渣,无,锌浸出渣挥发窑高温回收氧化锌处理工序产生的窑渣，湿法炼锌工艺挥发窑处理工序产生的窑渣,块状大，硬度高，颗粒形貌各异,固态,块状,黑红色,无刺激性气味,,≤5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-6,,,,,30-35,15-17,,5-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7-11,45-49,,12-16,,18-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固相热处理渣,有色冶炼,铅火法冶炼精炼炉除铜渣,铜浮渣,火法炼铅工艺电解精炼工段精炼炉产生的除铜渣,细腻伴有泡沫状,固态,颗粒状,黑色,无刺激性气味,,≤5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.74-18.2,,5.05-8.29,,,,,,,,,,,,,,,,,,,,,11.85-15,,,6.84-10,,69.62-73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38-42,,25-29,16-20,4-8,7-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固相热处理渣,有色冶炼,铅火法冶炼精炼渣,无,火法炼铅工艺电解精炼工段电铅熔化铸锭工序中阴极析出铅装入精炼锅内，在与粗铅相同的熔化工艺条件下进行熔化后，搅拌除锡产生精炼渣,熔融相,固态,块状,黑色,,,≤2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.78-98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75-79,5-9,8-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固相热处理渣,有色冶炼,锌湿法冶炼熔铸工段产生的锌浮渣,无,电解锌板熔铸工段生产锌锭产生的锌浮渣,粉末颗粒状，粒度2mm,固态,颗粒状,黄色,无刺激性气味,,≤2,5,,,,,,,,,,,,,,,,,,,,0.589-2.78,,,,,,,0.014-0.2,,,,75.49-79.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90-93,,1-3,1-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固相热处理渣,有色冶炼,铝电解铸造工段产生的铝灰渣,无,电解铝铸造过程熔体表面产生的铝灰渣,粉末颗粒状,固态,颗粒状,灰白色,无刺激性气味,,≤2,6.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.98-84,2-4.22,,,,,,,1-3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-17,,,38-42,,,,,,,,,,,,9-11,6-8,10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固相热处理渣,有色冶炼,铝电解铸造熔炼炉扒渣处理后的二次铝灰,无,铝电解生产工艺铸造熔炼炉的扒渣处理后产生的二次铝灰,粉末颗粒状，较一次铝灰粒度更低,固态,颗粒状,黑色,无刺激性气味,,≤2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.13-74,7.65-10,,,,,,,3.85-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-19,,,8-12,,,,,,,,,,,,29-33,14-18,9-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固相热处理渣,有色冶炼,再生铝铸造熔炼炉扒渣处理产生的盐渣,无,再生铝冶炼生产工艺铸造熔炼炉的扒渣处理工序产生的炒灰,粉末颗粒状,固态,颗粒状,黑色,无刺激性气味,,≤2,11.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.94-73,3.68-7,,,,,,,2.55-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-13,,,21-25,,,,,,,,,,,,11-15,12-16,12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
